1666447	0.752383 0.000012
3343718	0.301592 0.000015
5027513	0.339152 0.000015
6717541	0.127121 0.000013
8408933	0.128977 0.000013
10099707	0.467404 0.000018
11788228	0.129999 0.000011
13477419	0.128085 0.000008
15171713	0.060276 0.000015
16861474	0.06568 0.000015
18555043	0.529967 0.000017
20379624	0.076569 0.000016
22438496	0.076942 0.000017
24547417	0.077868 0.000011
26683200	0.077577 0.000016
28840048	0.076219 0.000017
30925141	0.075754 0.000011
33026923	0.075542 0.000014
35119680	0.445305 0.000015
37222116	0.075289 0.000016
39284311	0.075672 0.000017
41364833	0.074595 0.000018
43394167	0.074941 0.000013
45451564	0.078299 0.000017
47503948	0.076642 0.000019
49673522	0.439115 0.000014
51791029	0.075107 0.00002
53890546	0.074476 0.000016
55961434	0.063031 0.000024
58004071	0.068901 0.000014
59647865	0.06068 0.00002
61522421	0.060362 0.000015
63137483	0.062945 0.000015
64751358	0.061033 0.000016
66367873	0.061821 0.000018
67996238	0.424768 0.000017
69624732	0.062137 0.000017
71291980	0.062702 0.000014
72969432	0.063008 0.000018
74649514	0.06258 0.000022
76338764	0.062875 0.000017
78027553	0.063438 0.000016
79717059	0.071496 0.000011
81408922	0.063278 0.000025
83096413	0.064095 0.000015
84790560	0.413605 0.000019
86480655	0.066956 0.000012
88173214	0.072912 0.000015
89982393	
91994710	
